LogP,SMILES,TPSA,formula,hbond_acceptors,hbond_donors,num_atoms,num_bonds,rotatable_bonds,weight
4.211500000000004,CCCCCCCCSCC(=O)C(F)(F)F,17.07,C11H19F3OS,2.0,0.0,16.0,15.0,9.0,256.33299999999997
-1.6374999999999997,CC(C)N(O)C(=O)C([O-])=O,80.66999999999999,C5H8NO4-,4.0,1.0,10.0,9.0,1.0,146.12199999999999
1.5011999999999999,N[C@@H]1C[C@H]1c1ccccc1,26.02,C9H11N,1.0,1.0,10.0,11.0,1.0,133.194
2.570400000000001,NC\C(CCc1ccc(F)cc1)=C\F,26.02,C11H13F2N,1.0,1.0,14.0,14.0,4.0,197.22799999999998
-0.7369000000000001,N[C@@H](CCC(O)=O)C(O)=O,100.62,C5H9NO4,3.0,3.0,10.0,9.0,4.0,147.13
2.3428999999999993,Clc1ccc(cn1)C1CC2CCC1N2,24.92,C11H13ClN2,2.0,1.0,14.0,16.0,1.0,208.69199999999998
2.3428999999999993,Clc1ccc(cn1)C1CC2CCC1N2,24.92,C11H13ClN2,2.0,1.0,14.0,16.0,1.0,208.69199999999998
2.452,Brc1ccc(cn1)C1CC2CCC1N2,24.92,C11H13BrN2,2.0,1.0,14.0,16.0,1.0,253.14299999999997
2.3428999999999993,Clc1ccc(cn1)C1CC2CCC1N2,24.92,C11H13ClN2,2.0,1.0,14.0,16.0,1.0,208.69199999999998
2.3428999999999993,Clc1ccc(cn1)C1CC2CCC1N2,24.92,C11H13ClN2,2.0,1.0,14.0,16.0,1.0,208.69199999999998
2.3428999999999993,Clc1ccc(cn1)C1CC2CCC1N2,24.92,C11H13ClN2,2.0,1.0,14.0,16.0,1.0,208.69199999999998
2.3428999999999993,Clc1ccc(cn1)C1CC2CCC1N2,24.92,C11H13ClN2,2.0,1.0,14.0,16.0,1.0,208.69199999999998
0.5085999999999999,N[C@@H]1CCCC(=C1)C(O)=O,63.32,C7H11NO2,2.0,2.0,10.0,10.0,1.0,141.17
0.8222999999999998,C(Oc1cccnc1)[C@@H]1CCN1,34.15,C9H12N2O,3.0,1.0,12.0,13.0,3.0,164.20799999999997
1.6981000000000002,NC(=O)c1c(N)sc2CCCCCc12,69.11,C10H14N2OS,3.0,2.0,14.0,15.0,1.0,210.30199999999994
0.9600700000000004,NC(=N)N=C(N)Nc1ccccc1Cl,100.28,C8H10ClN5,1.0,4.0,14.0,14.0,1.0,211.656
5.762800000000001,FC(F)(F)c1ccc2SSSSSc2c1,0.0,C7H3F3S5,5.0,0.0,15.0,16.0,0.0,304.43
1.3274000000000001,Oc1cccc2C(=O)C=CC(=O)c12,54.37,C10H6O3,3.0,1.0,13.0,14.0,0.0,174.15499999999997
1.6443999999999996,C1CN(CCN1)c1ccc2ccccc2n1,28.16,C13H15N3,3.0,1.0,16.0,18.0,1.0,213.284
2.0424999999999995,CCOc1cc(cnc1Br)N1CCCNCC1,37.39,C12H18BrN3O,4.0,1.0,17.0,18.0,3.0,300.20000000000005
-1.5274000000000003,OC1CC(C(=O)N1O)P(O)(O)=O,118.30000000000001,C4H8NO6P,4.0,4.0,12.0,12.0,1.0,197.083
